Timestamp,Object,Confidence
2026-08-13 17:49:46.679374,bus,0.73
2026-08-13 17:49:46.679374,bus,0.7
2026-08-13 17:49:46.679374,bus,0.63
2026-08-13 17:49:46.679374,car,0.62
2026-08-13 17:49:46.679374,bus,0.62
2026-08-13 17:49:46.679374,car,0.58
2026-08-13 17:49:46.679374,bus,0.57
2026-08-13 17:49:46.679374,bus,0.47
2026-08-13 17:49:46.679374,car,0.46
2026-08-13 17:49:46.679374,bus,0.46
2026-08-13 17:49:46.679374,car,0.46
2026-08-13 17:49:46.679374,car,0.46
2026-08-13 17:49:46.679374,bus,0.41
2026-08-13 17:49:46.679374,car,0.36
2026-08-13 17:49:46.679374,car,0.35
2026-08-13 17:49:46.679374,car,0.34
2026-08-13 17:49:46.679374,bus,0.34
2026-08-13 17:49:46.679374,car,0.34
2026-08-13 17:49:46.679374,person,0.28
2026-08-13 17:49:46.679374,car,0.26
2026-08-13 17:49:46.799071,bus,0.72
2026-08-13 17:49:46.799071,bus,0.71
2026-08-13 17:49:46.799071,bus,0.64
2026-08-13 17:49:46.799071,car,0.63
2026-08-13 17:49:46.799071,bus,0.61
2026-08-13 17:49:46.799071,car,0.58
2026-08-13 17:49:46.799071,bus,0.56
2026-08-13 17:49:46.799071,bus,0.48
2026-08-13 17:49:46.799071,bus,0.47
2026-08-13 17:49:46.799071,car,0.46
2026-08-13 17:49:46.799071,car,0.46
2026-08-13 17:49:46.799071,car,0.42
2026-08-13 17:49:46.799071,bus,0.42
2026-08-13 17:49:46.799071,bus,0.4
2026-08-13 17:49:46.799071,car,0.37
2026-08-13 17:49:46.799071,car,0.35
2026-08-13 17:49:46.799071,car,0.34
2026-08-13 17:49:46.799071,car,0.33
2026-08-13 17:49:46.799071,person,0.28
2026-08-13 17:49:46.908876,bus,0.74
2026-08-13 17:49:46.908876,bus,0.69
2026-08-13 17:49:46.908876,bus,0.65
2026-08-13 17:49:46.908876,bus,0.63
2026-08-13 17:49:46.908876,car,0.59
2026-08-13 17:49:46.908876,car,0.58
2026-08-13 17:49:46.908876,bus,0.53
2026-08-13 17:49:46.908876,car,0.47
2026-08-13 17:49:46.908876,bus,0.46
2026-08-13 17:49:46.908876,bus,0.43
2026-08-13 17:49:46.908876,car,0.43
2026-08-13 17:49:46.908876,bus,0.42
2026-08-13 17:49:46.908876,car,0.41
2026-08-13 17:49:46.908876,bus,0.4
2026-08-13 17:49:46.908876,car,0.39
2026-08-13 17:49:46.908876,car,0.35
2026-08-13 17:49:46.908876,car,0.34
2026-08-13 17:49:46.908876,car,0.33
2026-08-13 17:49:46.908876,person,0.3
2026-08-13 17:49:46.910996,bus,0.28
2026-08-13 17:49:46.910996,car,0.26
2026-08-13 17:49:47.016393,bus,0.73
2026-08-13 17:49:47.016393,bus,0.7
2026-08-13 17:49:47.016393,bus,0.68
2026-08-13 17:49:47.018907,bus,0.61
2026-08-13 17:49:47.018907,car,0.59
2026-08-13 17:49:47.018907,car,0.57
2026-08-13 17:49:47.018907,bus,0.49
2026-08-13 17:49:47.018907,bus,0.48
2026-08-13 17:49:47.018907,car,0.47
2026-08-13 17:49:47.018907,bus,0.47
2026-08-13 17:49:47.018907,car,0.43
2026-08-13 17:49:47.018907,bus,0.43
2026-08-13 17:49:47.018907,car,0.41
2026-08-13 17:49:47.018907,car,0.38
2026-08-13 17:49:47.020942,bus,0.35
2026-08-13 17:49:47.020942,car,0.35
2026-08-13 17:49:47.020942,car,0.34
2026-08-13 17:49:47.020942,car,0.31
2026-08-13 17:49:47.020942,person,0.28
2026-08-13 17:49:47.020942,car,0.26
2026-08-13 17:49:47.182713,bus,0.74
2026-08-13 17:49:47.182713,bus,0.7
2026-08-13 17:49:47.182713,bus,0.7
2026-08-13 17:49:47.182713,bus,0.62
2026-08-13 17:49:47.182713,car,0.56
2026-08-13 17:49:47.182713,car,0.55
2026-08-13 17:49:47.182713,bus,0.51
2026-08-13 17:49:47.182713,bus,0.5
2026-08-13 17:49:47.185843,bus,0.49
2026-08-13 17:49:47.185843,car,0.48
2026-08-13 17:49:47.185843,car,0.43
2026-08-13 17:49:47.185843,bus,0.42
2026-08-13 17:49:47.185843,car,0.41
2026-08-13 17:49:47.185843,car,0.41
2026-08-13 17:49:47.185843,car,0.35
2026-08-13 17:49:47.185843,person,0.34
2026-08-13 17:49:47.185843,bus,0.34
2026-08-13 17:49:47.185843,car,0.34
2026-08-13 17:49:47.185843,car,0.31
2026-08-13 17:49:47.185843,car,0.25
2026-08-13 17:49:47.309053,bus,0.74
2026-08-13 17:49:47.309053,bus,0.71
2026-08-13 17:49:47.309053,bus,0.7
2026-08-13 17:49:47.309053,bus,0.63
2026-08-13 17:49:47.309053,car,0.56
2026-08-13 17:49:47.309053,bus,0.56
2026-08-13 17:49:47.309053,car,0.55
2026-08-13 17:49:47.309053,bus,0.54
2026-08-13 17:49:47.309053,bus,0.49
2026-08-13 17:49:47.309053,car,0.49
2026-08-13 17:49:47.309053,car,0.42
2026-08-13 17:49:47.309053,car,0.41
2026-08-13 17:49:47.309053,bus,0.41
2026-08-13 17:49:47.309053,bus,0.38
2026-08-13 17:49:47.309053,car,0.38
2026-08-13 17:49:47.309053,car,0.35
2026-08-13 17:49:47.309053,person,0.32
2026-08-13 17:49:47.309053,car,0.31
2026-08-13 17:49:47.309053,car,0.29
2026-08-13 17:49:47.309053,car,0.26
2026-08-13 17:49:47.396039,bus,0.75
2026-08-13 17:49:47.396550,bus,0.72
2026-08-13 17:49:47.396550,bus,0.71
2026-08-13 17:49:47.396550,bus,0.61
2026-08-13 17:49:47.396550,bus,0.6
2026-08-13 17:49:47.396550,car,0.54
2026-08-13 17:49:47.396550,bus,0.54
2026-08-13 17:49:47.396550,bus,0.5
2026-08-13 17:49:47.396550,car,0.49
2026-08-13 17:49:47.396550,bus,0.49
2026-08-13 17:49:47.396550,car,0.45
2026-08-13 17:49:47.396550,person,0.39
2026-08-13 17:49:47.396550,car,0.39
2026-08-13 17:49:47.396550,car,0.37
2026-08-13 17:49:47.396550,bus,0.36
2026-08-13 17:49:47.396550,car,0.31
2026-08-13 17:49:47.396550,truck,0.3
2026-08-13 17:49:47.396550,car,0.28
2026-08-13 17:49:47.396550,car,0.28
2026-08-13 17:49:47.396550,car,0.25
2026-08-13 17:49:47.469085,bus,0.75
2026-08-13 17:49:47.469085,bus,0.71
2026-08-13 17:49:47.469085,bus,0.71
2026-08-13 17:49:47.469085,bus,0.61
2026-08-13 17:49:47.469085,bus,0.6
2026-08-13 17:49:47.469085,car,0.55
2026-08-13 17:49:47.469085,bus,0.54
2026-08-13 17:49:47.469085,bus,0.52
2026-08-13 17:49:47.469085,car,0.49
2026-08-13 17:49:47.469085,bus,0.47
2026-08-13 17:49:47.469085,car,0.45
2026-08-13 17:49:47.469085,person,0.41
2026-08-13 17:49:47.469085,car,0.39
2026-08-13 17:49:47.469085,bus,0.37
2026-08-13 17:49:47.469085,car,0.37
2026-08-13 17:49:47.469085,truck,0.3
2026-08-13 17:49:47.469085,car,0.3
2026-08-13 17:49:47.469085,car,0.29
2026-08-13 17:49:47.469085,car,0.27
2026-08-13 17:49:47.469085,car,0.25
2026-08-13 17:49:47.548894,bus,0.75
2026-08-13 17:49:47.548894,bus,0.74
2026-08-13 17:49:47.548894,bus,0.7
2026-08-13 17:49:47.548894,bus,0.62
2026-08-13 17:49:47.548894,bus,0.6
2026-08-13 17:49:47.548894,car,0.59
2026-08-13 17:49:47.548894,bus,0.5
2026-08-13 17:49:47.548894,car,0.48
2026-08-13 17:49:47.548894,bus,0.46
2026-08-13 17:49:47.548894,car,0.45
2026-08-13 17:49:47.548894,bus,0.42
2026-08-13 17:49:47.548894,car,0.4
2026-08-13 17:49:47.548894,bus,0.39
2026-08-13 17:49:47.548894,car,0.37
2026-08-13 17:49:47.548894,person,0.37
2026-08-13 17:49:47.548894,truck,0.3
2026-08-13 17:49:47.548894,car,0.29
2026-08-13 17:49:47.548894,bus,0.28
2026-08-13 17:49:47.548894,car,0.28
2026-08-13 17:49:47.548894,car,0.26
2026-08-13 17:49:47.548894,car,0.26
2026-08-13 17:49:47.548894,car,0.25
2026-08-13 17:49:47.626161,bus,0.76
2026-08-13 17:49:47.626161,bus,0.73
2026-08-13 17:49:47.626161,bus,0.7
2026-08-13 17:49:47.626161,bus,0.6
2026-08-13 17:49:47.626161,car,0.59
2026-08-13 17:49:47.626161,bus,0.54
2026-08-13 17:49:47.626161,bus,0.5
2026-08-13 17:49:47.626161,car,0.47
2026-08-13 17:49:47.626161,car,0.47
2026-08-13 17:49:47.626161,bus,0.46
